 Run	    Fitness1	                                                                                                                                                                                                Solution1	    Fitness2	                                                                                                                                                                                           Solution2
   3	         54	000000c8000000c8000000000000000000000064000000c800000190000000c80000012c000000640000000000000064000001900000006400000000000000c80000012c00000064000000c800000000000000c8000000640000012c0000006400000064	        257	0000000000000064000000c80000006400000190000000000000000000000190000000c800000190000001900000019000000000000000c800000190000000000000012c000001900000019000000000000000640000012c000000000000000000000000
   3	        257	0000000000000064000000c80000006400000190000000000000000000000190000000c800000190000001900000019000000000000000c800000190000000000000012c000001900000019000000000000000640000012c000000000000000000000000	        257	0000000000000064000000c80000006400000190000000000000000000000190000000c800000190000001900000019000000000000000c800000190000000000000012c000001900000019000000000000000640000012c000000000000000000000000
   3	        257	0000000000000064000000c80000006400000190000000000000000000000190000000c800000190000001900000019000000000000000c800000190000000000000012c000001900000019000000000000000640000012c000000000000000000000000	        257	0000000000000064000000c80000006400000190000000000000000000000190000000c800000190000001900000019000000000000000c800000190000000000000012c000001900000019000000000000000640000012c000000000000000000000000
   3	        257	0000000000000064000000c80000006400000190000000000000000000000190000000c800000190000001900000019000000000000000c800000190000000000000012c000001900000019000000000000000640000012c000000000000000000000000	        257	0000000000000064000000c80000006400000190000000000000000000000190000000c800000190000001900000019000000000000000c800000190000000000000012c000001900000019000000000000000640000012c000000000000000000000000
   3	        257	0000000000000064000000c80000006400000190000000000000000000000190000000c800000190000001900000019000000000000000c800000190000000000000012c000001900000019000000000000000640000012c000000000000000000000000	        257	0000000000000064000000c80000006400000190000000000000000000000190000000c800000190000001900000019000000000000000c800000190000000000000012c000001900000019000000000000000640000012c000000000000000000000000
   3	        257	0000000000000064000000c80000006400000190000000000000000000000190000000c800000190000001900000019000000000000000c800000190000000000000012c000001900000019000000000000000640000012c000000000000000000000000	        257	0000000000000064000000c80000006400000190000000000000000000000190000000c800000190000001900000019000000000000000c800000190000000000000012c000001900000019000000000000000640000012c000000000000000000000000
   3	        257	0000000000000064000000c80000006400000190000000000000000000000190000000c800000190000001900000019000000000000000c800000190000000000000012c000001900000019000000000000000640000012c000000000000000000000000	        257	0000000000000064000000c80000006400000190000000000000000000000190000000c800000190000001900000019000000000000000c800000190000000000000012c000001900000019000000000000000640000012c000000000000000000000000
   3	        257	0000000000000064000000c80000006400000190000000000000000000000190000000c800000190000001900000019000000000000000c800000190000000000000012c000001900000019000000000000000640000012c000000000000000000000000	        257	0000000000000064000000c80000006400000190000000000000000000000190000000c800000190000001900000019000000000000000c800000190000000000000012c000001900000019000000000000000640000012c000000000000000000000000
   3	        257	0000000000000064000000c80000006400000190000000000000000000000190000000c800000190000001900000019000000000000000c800000190000000000000012c000001900000019000000000000000640000012c000000000000000000000000	        266	0000000000000000000000c80000006400000190000000c8000000000000012c000000c8000001900000019000000190000000c8000000c800000190000000640000012c0000019000000190000001900000006400000064000000000000000000000000
   3	        266	0000000000000000000000c80000006400000190000000c8000000000000012c000000c8000001900000019000000190000000c8000000c800000190000000640000012c0000019000000190000001900000006400000064000000000000000000000000	        344	0000000000000000000000c8000000640000019000000000000000000000012c000000c800000190000000000000019000000000000000c80000019000000064000000c8000001900000019000000190000001900000006400000000000001900000012c
