 Run	    Fitness1	                                                                                                                                                                                                Solution1	    Fitness2	                                                                                                                                                                                           Solution2
   1	        627	00000bb8000000000000000000000000000007d000000fa0000003e800000fa0000003e8000007d0000007d000000bb800000bb800000fa000000bb800000fa000000000000003e8000007d000000bb8000003e800000bb800000000000007d000000bb8	        627	00000bb8000000000000000000000000000007d000000fa0000003e800000fa0000003e8000007d0000007d000000bb800000bb800000fa000000bb800000fa000000000000003e8000007d000000bb8000003e800000bb800000000000007d000000bb8
   1	        627	00000bb8000000000000000000000000000007d000000fa0000003e800000fa0000003e8000007d0000007d000000bb800000bb800000fa000000bb800000fa000000000000003e8000007d000000bb8000003e800000bb800000000000007d000000bb8	        749	00000bb8000000000000000000000000000007d000000fa00000000000000fa0000003e8000007d0000007d000000bb800000bb800000fa000000bb800000fa000000000000003e8000007d000000bb8000003e800000bb800000000000007d000000bb8
   1	        749	00000bb8000000000000000000000000000007d000000fa00000000000000fa0000003e8000007d0000007d000000bb800000bb800000fa000000bb800000fa000000000000003e8000007d000000bb8000003e800000bb800000000000007d000000bb8	        749	00000bb8000000000000000000000000000007d000000fa00000000000000fa0000003e8000007d0000007d000000bb800000bb800000fa000000bb800000fa000000000000003e8000007d000000bb8000003e800000bb800000000000007d000000bb8
   1	        749	00000bb8000000000000000000000000000007d000000fa00000000000000fa0000003e8000007d0000007d000000bb800000bb800000fa000000bb800000fa000000000000003e8000007d000000bb8000003e800000bb800000000000007d000000bb8	       1458	00000000000000000000000000000000000007d000000fa0000003e800000fa0000003e8000007d0000007d000000bb800000bb800000fa000000bb800000fa000000000000003e8000007d000000bb8000003e800000bb800000000000007d000000bb8
   1	       1458	00000000000000000000000000000000000007d000000fa0000003e800000fa0000003e8000007d0000007d000000bb800000bb800000fa000000bb800000fa000000000000003e8000007d000000bb8000003e800000bb800000000000007d000000bb8	       1458	00000000000000000000000000000000000007d000000fa0000003e800000fa0000003e8000007d0000007d000000bb800000bb800000fa000000bb800000fa000000000000003e8000007d000000bb8000003e800000bb800000000000007d000000bb8
   1	       1458	00000000000000000000000000000000000007d000000fa0000003e800000fa0000003e8000007d0000007d000000bb800000bb800000fa000000bb800000fa000000000000003e8000007d000000bb8000003e800000bb800000000000007d000000bb8	       1458	00000000000000000000000000000000000007d000000fa0000003e800000fa0000003e8000007d0000007d000000bb800000bb800000fa000000bb800000fa000000000000003e8000007d000000bb8000003e800000bb800000000000007d000000bb8
   1	       1458	00000000000000000000000000000000000007d000000fa0000003e800000fa0000003e8000007d0000007d000000bb800000bb800000fa000000bb800000fa000000000000003e8000007d000000bb8000003e800000bb800000000000007d000000bb8	       1786	00000bb800000000000007d000000000000007d000000fa0000003e800000fa0000003e8000007d0000007d000000bb800000bb8000007d000000bb800000fa000000fa0000003e8000007d000000bb8000003e800000bb800000000000007d000000bb8
   1	       1786	00000bb800000000000007d000000000000007d000000fa0000003e800000fa0000003e8000007d0000007d000000bb800000bb8000007d000000bb800000fa000000fa0000003e8000007d000000bb8000003e800000bb800000000000007d000000bb8	       1786	00000bb800000000000007d000000000000007d000000fa0000003e800000fa0000003e8000007d0000007d000000bb800000bb8000007d000000bb800000fa000000fa0000003e8000007d000000bb8000003e800000bb800000000000007d000000bb8
   1	       1786	00000bb800000000000007d000000000000007d000000fa0000003e800000fa0000003e8000007d0000007d000000bb800000bb8000007d000000bb800000fa000000fa0000003e8000007d000000bb8000003e800000bb800000000000007d000000bb8	       2538	00000bb8000000000000000000000000000003e800000fa0000003e800000fa0000003e8000007d0000007d000000bb800000bb80000000000000bb800000fa000000000000003e8000007d000000bb8000003e800000bb800000000000007d000000bb8
   1	       2538	00000bb8000000000000000000000000000003e800000fa0000003e800000fa0000003e8000007d0000007d000000bb800000bb80000000000000bb800000fa000000000000003e8000007d000000bb8000003e800000bb800000000000007d000000bb8	       3163	00000bb8000000000000000000000000000007d000000fa0000003e800000fa0000003e8000007d0000007d000000bb800000bb8000007d000000bb800000fa000000fa0000003e8000007d000000bb800000bb800000bb800000000000007d000000bb8
   1	       3163	00000bb8000000000000000000000000000007d000000fa0000003e800000fa0000003e8000007d0000007d000000bb800000bb8000007d000000bb800000fa000000fa0000003e8000007d000000bb800000bb800000bb800000000000007d000000bb8	       3163	00000bb8000000000000000000000000000007d000000fa0000003e800000fa0000003e8000007d0000007d000000bb800000bb8000007d000000bb800000fa000000fa0000003e8000007d000000bb800000bb800000bb800000000000007d000000bb8
   1	       3163	00000bb8000000000000000000000000000007d000000fa0000003e800000fa0000003e8000007d0000007d000000bb800000bb8000007d000000bb800000fa000000fa0000003e8000007d000000bb800000bb800000bb800000000000007d000000bb8	       3163	00000bb8000000000000000000000000000007d000000fa0000003e800000fa0000003e8000007d0000007d000000bb800000bb8000007d000000bb800000fa000000fa0000003e8000007d000000bb800000bb800000bb800000000000007d000000bb8
   1	       3163	00000bb8000000000000000000000000000007d000000fa0000003e800000fa0000003e8000007d0000007d000000bb800000bb8000007d000000bb800000fa000000fa0000003e8000007d000000bb800000bb800000bb800000000000007d000000bb8	       3163	00000bb8000000000000000000000000000007d000000fa0000003e800000fa0000003e8000007d0000007d000000bb800000bb8000007d000000bb800000fa000000fa0000003e8000007d000000bb800000bb800000bb800000000000007d000000bb8
