 Run	    Fitness1	                                                                                                                                                                                                Solution1	    Fitness2	                                                                                                                                                                                           Solution2
   1	          6	0000001e00000000000000000000000000000014000000280000000a000000280000000a00000014000000140000001e0000001e000000280000001e00000028000000000000000a000000140000001e0000000a0000001e00000000000000140000001e	          6	0000001e00000000000000000000000000000014000000280000000a000000280000000a00000014000000140000001e0000001e000000280000001e00000028000000000000000a000000140000001e0000000a0000001e00000000000000140000001e
   1	          6	0000001e00000000000000000000000000000014000000280000000a000000280000000a00000014000000140000001e0000001e000000280000001e00000028000000000000000a000000140000001e0000000a0000001e00000000000000140000001e	          7	0000001e000000000000000000000000000000140000002800000000000000280000000a00000014000000140000001e0000001e000000280000001e00000028000000000000000a000000140000001e0000000a0000001e00000000000000140000001e
   1	          7	0000001e000000000000000000000000000000140000002800000000000000280000000a00000014000000140000001e0000001e000000280000001e00000028000000000000000a000000140000001e0000000a0000001e00000000000000140000001e	          7	0000001e000000000000000000000000000000140000002800000000000000280000000a00000014000000140000001e0000001e000000280000001e00000028000000000000000a000000140000001e0000000a0000001e00000000000000140000001e
   1	          7	0000001e000000000000000000000000000000140000002800000000000000280000000a00000014000000140000001e0000001e000000280000001e00000028000000000000000a000000140000001e0000000a0000001e00000000000000140000001e	         15	0000000000000000000000000000000000000014000000280000000a000000280000000a00000014000000140000001e0000001e000000280000001e00000028000000000000000a000000140000001e0000000a0000001e00000000000000140000001e
   1	         15	0000000000000000000000000000000000000014000000280000000a000000280000000a00000014000000140000001e0000001e000000280000001e00000028000000000000000a000000140000001e0000000a0000001e00000000000000140000001e	         15	0000000000000000000000000000000000000014000000280000000a000000280000000a00000014000000140000001e0000001e000000280000001e00000028000000000000000a000000140000001e0000000a0000001e00000000000000140000001e
   1	         15	0000000000000000000000000000000000000014000000280000000a000000280000000a00000014000000140000001e0000001e000000280000001e00000028000000000000000a000000140000001e0000000a0000001e00000000000000140000001e	         15	0000000000000000000000000000000000000014000000280000000a000000280000000a00000014000000140000001e0000001e000000280000001e00000028000000000000000a000000140000001e0000000a0000001e00000000000000140000001e
   1	         15	0000000000000000000000000000000000000014000000280000000a000000280000000a00000014000000140000001e0000001e000000280000001e00000028000000000000000a000000140000001e0000000a0000001e00000000000000140000001e	         18	0000001e00000000000000140000000000000014000000280000000a000000280000000a00000014000000140000001e0000001e000000140000001e00000028000000280000000a000000140000001e0000000a0000001e00000000000000140000001e
   1	         18	0000001e00000000000000140000000000000014000000280000000a000000280000000a00000014000000140000001e0000001e000000140000001e00000028000000280000000a000000140000001e0000000a0000001e00000000000000140000001e	         18	0000001e00000000000000140000000000000014000000280000000a000000280000000a00000014000000140000001e0000001e000000140000001e00000028000000280000000a000000140000001e0000000a0000001e00000000000000140000001e
   1	         18	0000001e00000000000000140000000000000014000000280000000a000000280000000a00000014000000140000001e0000001e000000140000001e00000028000000280000000a000000140000001e0000000a0000001e00000000000000140000001e	         25	0000001e0000000000000000000000000000000a000000280000000a000000280000000a00000014000000140000001e0000001e000000000000001e00000028000000000000000a000000140000001e0000000a0000001e00000000000000140000001e
   1	         25	0000001e0000000000000000000000000000000a000000280000000a000000280000000a00000014000000140000001e0000001e000000000000001e00000028000000000000000a000000140000001e0000000a0000001e00000000000000140000001e	         32	0000001e00000000000000000000000000000014000000280000000a000000280000000a00000014000000140000001e0000001e000000140000001e00000028000000280000000a000000140000001e0000001e0000001e00000000000000140000001e
