 Run	    Fitness	                                                                                                                                                                                                Solution	    Fitness	                                                                                                                                                                                           Next_Solution
   2	        195	000000c8000001900000012c0000000000000000000000000000012c000000640000000000000000000000c8000000c8000001900000006400000064000000000000000000000064000000000000000000000000000001900000012c000000c800000190	        195	000000c8000001900000012c0000000000000000000000000000012c000000640000000000000000000000c8000000c8000001900000006400000064000000000000000000000064000000000000000000000000000001900000012c000000c800000190
   2	        195	000000c8000001900000012c0000000000000000000000000000012c000000640000000000000000000000c8000000c8000001900000006400000064000000000000000000000064000000000000000000000000000001900000012c000000c800000190	        195	000000c8000001900000012c0000000000000000000000000000012c000000640000000000000000000000c8000000c8000001900000006400000064000000000000000000000064000000000000000000000000000001900000012c000000c800000190
   2	        195	000000c8000001900000012c0000000000000000000000000000012c000000640000000000000000000000c8000000c8000001900000006400000064000000000000000000000064000000000000000000000000000001900000012c000000c800000190	        195	000000c8000001900000012c0000000000000000000000000000012c000000640000000000000000000000c8000000c8000001900000006400000064000000000000000000000064000000000000000000000000000001900000012c000000c800000190
   2	        195	000000c8000001900000012c0000000000000000000000000000012c000000640000000000000000000000c8000000c8000001900000006400000064000000000000000000000064000000000000000000000000000001900000012c000000c800000190	        226	000000000000012c000001900000012c0000012c0000000000000000000000c80000019000000190000001900000012c000000c80000012c0000012c00000190000001900000019000000064000001900000000000000000000000640000000000000000
   2	        226	000000000000012c000001900000012c0000012c0000000000000000000000c80000019000000190000001900000012c000000c80000012c0000012c00000190000001900000019000000064000001900000000000000000000000640000000000000000	        226	000000000000012c000001900000012c0000012c0000000000000000000000c80000019000000190000001900000012c000000c80000012c0000012c00000190000001900000019000000064000001900000000000000000000000640000000000000000
   2	        226	000000000000012c000001900000012c0000012c0000000000000000000000c80000019000000190000001900000012c000000c80000012c0000012c00000190000001900000019000000064000001900000000000000000000000640000000000000000	        226	000000000000012c000001900000012c0000012c0000000000000000000000c80000019000000190000001900000012c000000c80000012c0000012c00000190000001900000019000000064000001900000000000000000000000640000000000000000
   2	        226	000000000000012c000001900000012c0000012c0000000000000000000000c80000019000000190000001900000012c000000c80000012c0000012c00000190000001900000019000000064000001900000000000000000000000640000000000000000	        231	000000000000012c000001900000012c0000012c000000000000012c000000c80000019000000000000001900000012c000000c80000012c0000012c00000190000001900000019000000064000001900000000000000000000000640000000000000000
   2	        231	000000000000012c000001900000012c0000012c000000000000012c000000c80000019000000000000001900000012c000000c80000012c0000012c00000190000001900000019000000064000001900000000000000000000000640000000000000000	        231	000000000000012c000001900000012c0000012c000000000000012c000000c80000019000000000000001900000012c000000c80000012c0000012c00000190000001900000019000000064000001900000000000000000000000640000000000000000
   2	        231	000000000000012c000001900000012c0000012c000000000000012c000000c80000019000000000000001900000012c000000c80000012c0000012c00000190000001900000019000000064000001900000000000000000000000640000000000000000	        299	000000000000012c000001900000012c0000012c000000000000012c0000012c0000019000000000000001900000012c000000c80000012c0000012c00000190000001900000019000000064000001900000000000000000000001900000000000000000
   2	        299	000000000000012c000001900000012c0000012c000000000000012c0000012c0000019000000000000001900000012c000000c80000012c0000012c00000190000001900000019000000064000001900000000000000000000001900000000000000000	        299	000000000000012c000001900000012c0000012c000000000000012c0000012c0000019000000000000001900000012c000000c80000012c0000012c00000190000001900000019000000064000001900000000000000000000001900000000000000000
