 Run	    Fitness	                                                                                                                                                                                                Solution	    Fitness	                                                                                                                                                                                           Next_Solution
   1	     184868	0000000000061a800000000000061a8000061a8000000000000186a0000493e0000186a0000186a0000493e000030d4000061a800000000000061a8000061a8000030d4000061a800000000000061a80000493e000030d40000000000000000000000000	     203319	000493e000000000000493e00000000000030d4000061a80000186a000061a80000186a000030d4000030d40000493e0000493e000000000000493e000061a8000000000000186a000030d4000030d40000186a0000493e00000000000030d40000493e0
   1	     203319	000493e000000000000493e00000000000030d4000061a80000186a000061a80000186a000030d4000030d40000493e0000493e000000000000493e000061a8000000000000186a000030d4000030d40000186a0000493e00000000000030d40000493e0	     203319	000493e000000000000493e00000000000030d4000061a80000186a000061a80000186a000030d4000030d40000493e0000493e000000000000493e000061a8000000000000186a000030d4000030d40000186a0000493e00000000000030d40000493e0
   1	     203319	000493e000000000000493e00000000000030d4000061a80000186a000061a80000186a000030d4000030d40000493e0000493e000000000000493e000061a8000000000000186a000030d4000030d40000186a0000493e00000000000030d40000493e0	     203319	000493e000000000000493e00000000000030d4000061a80000186a000061a80000186a000030d4000030d40000493e0000493e000000000000493e000061a8000000000000186a000030d4000030d40000186a0000493e00000000000030d40000493e0
   1	     203319	000493e000000000000493e00000000000030d4000061a80000186a000061a80000186a000030d4000030d40000493e0000493e000000000000493e000061a8000000000000186a000030d4000030d40000186a0000493e00000000000030d40000493e0	     203319	000493e000000000000493e00000000000030d4000061a80000186a000061a80000186a000030d4000030d40000493e0000493e000000000000493e000061a8000000000000186a000030d4000030d40000186a0000493e00000000000030d40000493e0
   1	     203319	000493e000000000000493e00000000000030d4000061a80000186a000061a80000186a000030d4000030d40000493e0000493e000000000000493e000061a8000000000000186a000030d4000030d40000186a0000493e00000000000030d40000493e0	     245073	0000000000061a8000030d4000061a8000061a8000000000000186a0000493e0000186a0000186a000030d4000030d4000061a800000000000061a8000061a8000061a8000061a8000000000000186a0000493e000030d40000000000000000000000000
   1	     245073	0000000000061a8000030d4000061a8000061a8000000000000186a0000493e0000186a0000186a000030d4000030d4000061a800000000000061a8000061a8000061a8000061a8000000000000186a0000493e000030d40000000000000000000000000	     245073	0000000000061a8000030d4000061a8000061a8000000000000186a0000493e0000186a0000186a000030d4000030d4000061a800000000000061a8000061a8000061a8000061a8000000000000186a0000493e000030d40000000000000000000000000
   1	     245073	0000000000061a8000030d4000061a8000061a8000000000000186a0000493e0000186a0000186a000030d4000030d4000061a800000000000061a8000061a8000061a8000061a8000000000000186a0000493e000030d40000000000000000000000000	     245073	0000000000061a8000030d4000061a8000061a8000000000000186a0000493e0000186a0000186a000030d4000030d4000061a800000000000061a8000061a8000061a8000061a8000000000000186a0000493e000030d40000000000000000000000000
   1	     245073	0000000000061a8000030d4000061a8000061a8000000000000186a0000493e0000186a0000186a000030d4000030d4000061a800000000000061a8000061a8000061a8000061a8000000000000186a0000493e000030d40000000000000000000000000	     245073	0000000000061a8000030d4000061a8000061a8000000000000186a0000493e0000186a0000186a000030d4000030d4000061a800000000000061a8000061a8000061a8000061a8000000000000186a0000493e000030d40000000000000000000000000
   1	     245073	0000000000061a8000030d4000061a8000061a8000000000000186a0000493e0000186a0000186a000030d4000030d4000061a800000000000061a8000061a8000061a8000061a8000000000000186a0000493e000030d40000000000000000000000000	     245073	0000000000061a8000030d4000061a8000061a8000000000000186a0000493e0000186a0000186a000030d4000030d4000061a800000000000061a8000061a8000061a8000061a8000000000000186a0000493e000030d40000000000000000000000000
   1	     245073	0000000000061a8000030d4000061a8000061a8000000000000186a0000493e0000186a0000186a000030d4000030d4000061a800000000000061a8000061a8000061a8000061a8000000000000186a0000493e000030d40000000000000000000000000	     245073	0000000000061a8000030d4000061a8000061a8000000000000186a0000493e0000186a0000186a000030d4000030d4000061a800000000000061a8000061a8000061a8000061a8000000000000186a0000493e000030d40000000000000000000000000
