 Run	    Fitness	                                                                                                                                                                                                Solution	    Fitness	                                                                                                                                                                                           Next_Solution
   1	         63	0000012c000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000001900000012c000001900000000000000064000000c80000012c000000640000012c00000000000000c80000012c	         63	0000012c000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000001900000012c000001900000000000000064000000c80000012c000000640000012c00000000000000c80000012c
   1	         63	0000012c000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000001900000012c000001900000000000000064000000c80000012c000000640000012c00000000000000c80000012c	         75	0000012c000000000000000000000000000000c800000190000000000000019000000064000000c8000000c80000012c0000012c000001900000012c000001900000000000000064000000c80000012c000000640000012c00000000000000c80000012c
   1	         75	0000012c000000000000000000000000000000c800000190000000000000019000000064000000c8000000c80000012c0000012c000001900000012c000001900000000000000064000000c80000012c000000640000012c00000000000000c80000012c	         75	0000012c000000000000000000000000000000c800000190000000000000019000000064000000c8000000c80000012c0000012c000001900000012c000001900000000000000064000000c80000012c000000640000012c00000000000000c80000012c
   1	         75	0000012c000000000000000000000000000000c800000190000000000000019000000064000000c8000000c80000012c0000012c000001900000012c000001900000000000000064000000c80000012c000000640000012c00000000000000c80000012c	        146	00000000000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000001900000012c000001900000000000000064000000c80000012c000000640000012c00000000000000c80000012c
   1	        146	00000000000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000001900000012c000001900000000000000064000000c80000012c000000640000012c00000000000000c80000012c	        146	00000000000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000001900000012c000001900000000000000064000000c80000012c000000640000012c00000000000000c80000012c
   1	        146	00000000000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000001900000012c000001900000000000000064000000c80000012c000000640000012c00000000000000c80000012c	        146	00000000000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000001900000012c000001900000000000000064000000c80000012c000000640000012c00000000000000c80000012c
   1	        146	00000000000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000001900000012c000001900000000000000064000000c80000012c000000640000012c00000000000000c80000012c	        179	0000012c00000000000000c800000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000c80000012c000001900000019000000064000000c80000012c000000640000012c00000000000000c80000012c
   1	        179	0000012c00000000000000c800000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000c80000012c000001900000019000000064000000c80000012c000000640000012c00000000000000c80000012c	        179	0000012c00000000000000c800000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000c80000012c000001900000019000000064000000c80000012c000000640000012c00000000000000c80000012c
   1	        179	0000012c00000000000000c800000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000c80000012c000001900000019000000064000000c80000012c000000640000012c00000000000000c80000012c	        254	0000012c0000000000000000000000000000006400000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c80000012c000000640000012c00000000000000c80000012c
   1	        254	0000012c0000000000000000000000000000006400000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c80000012c000000640000012c00000000000000c80000012c	        316	0000012c000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000c80000012c000001900000019000000064000000c80000012c0000012c0000012c00000000000000c80000012c
