 Run	    Fitness1	                                                                                                                                                                                                Solution1	    Fitness2	                                                                                                                                                                                           Solution2
   1	        185	000000000000019000000000000001900000019000000000000000640000012c00000064000000640000012c000000c800000190000000000000019000000190000000c80000019000000000000001900000012c000000c8000000000000000000000000	        203	0000012c000000000000012c00000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000640000012c00000000000000c80000012c
   1	        203	0000012c000000000000012c00000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000640000012c00000000000000c80000012c	        203	0000012c000000000000012c00000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000640000012c00000000000000c80000012c
   1	        203	0000012c000000000000012c00000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000640000012c00000000000000c80000012c	        203	0000012c000000000000012c00000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000640000012c00000000000000c80000012c
   1	        203	0000012c000000000000012c00000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000640000012c00000000000000c80000012c	        203	0000012c000000000000012c00000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000640000012c00000000000000c80000012c
   1	        203	0000012c000000000000012c00000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000640000012c00000000000000c80000012c	        245	0000000000000190000000c8000001900000019000000000000000640000012c0000006400000064000000c8000000c800000190000000000000019000000190000001900000019000000000000000640000012c000000c8000000000000000000000000
   1	        245	0000000000000190000000c8000001900000019000000000000000640000012c0000006400000064000000c8000000c800000190000000000000019000000190000001900000019000000000000000640000012c000000c8000000000000000000000000	        245	0000000000000190000000c8000001900000019000000000000000640000012c0000006400000064000000c8000000c800000190000000000000019000000190000001900000019000000000000000640000012c000000c8000000000000000000000000
   1	        245	0000000000000190000000c8000001900000019000000000000000640000012c0000006400000064000000c8000000c800000190000000000000019000000190000001900000019000000000000000640000012c000000c8000000000000000000000000	        245	0000000000000190000000c8000001900000019000000000000000640000012c0000006400000064000000c8000000c800000190000000000000019000000190000001900000019000000000000000640000012c000000c8000000000000000000000000
   1	        245	0000000000000190000000c8000001900000019000000000000000640000012c0000006400000064000000c8000000c800000190000000000000019000000190000001900000019000000000000000640000012c000000c8000000000000000000000000	        245	0000000000000190000000c8000001900000019000000000000000640000012c0000006400000064000000c8000000c800000190000000000000019000000190000001900000019000000000000000640000012c000000c8000000000000000000000000
   1	        245	0000000000000190000000c8000001900000019000000000000000640000012c0000006400000064000000c8000000c800000190000000000000019000000190000001900000019000000000000000640000012c000000c8000000000000000000000000	        245	0000000000000190000000c8000001900000019000000000000000640000012c0000006400000064000000c8000000c800000190000000000000019000000190000001900000019000000000000000640000012c000000c8000000000000000000000000
   1	        245	0000000000000190000000c8000001900000019000000000000000640000012c0000006400000064000000c8000000c800000190000000000000019000000190000001900000019000000000000000640000012c000000c8000000000000000000000000	        245	0000000000000190000000c8000001900000019000000000000000640000012c0000006400000064000000c8000000c800000190000000000000019000000190000001900000019000000000000000640000012c000000c8000000000000000000000000
   1	        245	0000000000000190000000c8000001900000019000000000000000640000012c0000006400000064000000c8000000c800000190000000000000019000000190000001900000019000000000000000640000012c000000c8000000000000000000000000	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c
   1	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c
   1	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c
   1	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c
   1	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c
   1	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c
   1	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c
   1	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c
   1	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c
   1	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c
   1	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c
   1	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c
   1	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c
   1	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c
   1	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c
   1	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c
   1	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c
   1	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c	        347	00000064000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000000000012c000001900000000000000064000000c8000000c8000000c80000012c00000000000000c80000012c
